rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
7,7,-2,OLD,20176961,지랄발광 17세,2017-06-28,18528000,0.7,-24310900,-56.7,583697100,2471,-2799,-53.1,73871,111,280
8,8,3,OLD,20176102,그 후,2017-07-06,8781000,0.3,-8057400,-47.9,80748508,1246,-857,-40.8,10424,147,243
9,9,3,OLD,20020186,헤드윅,2002-08-09,6293000,0.2,-9453200,-60,253277131,866,-1075,-55.4,32606,55,92
10,10,3,OLD,20174602,노무현입니다,2017-05-25,5739700,0.2,-7853700,-57.8,14476106412,856,-832,-49.3,1843179,60,94
1,1,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,2051712700,74.3,74446600,3.8,33501036624,267167,12543,4.9,4085737,1797,9249
2,2,0,OLD,20178982,박열,2017-06-28,322814100,11.7,9098300,2.9,14852696296,45160,1513,3.5,1931047,710,2904
3,3,2,OLD,20162869,택시운전사,2017-08-02,102167000,3.7,76931000,304.8,129005000,16990,12954,321,21208,83,89
4,4,0,OLD,20158485,옥자,2017-06-29,50751600,1.8,8314100,19.6,1728835600,6969,1105,18.8,227978,93,270
5,5,-2,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,49794500,1.8,4076100,8.9,21236511928,6793,590,9.5,2579876,382,863
6,6,17,OLD,20081056,다크 나이트,2008-08-06,28924500,1,26413000,1051.7,27092605000,3701,3396,1113.4,4091598,32,32
7,7,0,OLD,20176961,지랄발광 17세,2017-06-28,21480000,0.8,2952000,15.9,605177100,2869,398,16.1,76740,115,271
8,8,-2,OLD,20159647,리얼,2017-06-28,18665800,0.7,380900,2.1,3265963930,2693,131,5.1,453685,260,377
9,9,7,OLD,20177761,오즈: 신기한 마법가루,2017-07-20,11252000,0.4,7752000,221.5,14752000,1544,1044,208.8,2044,13,13
10,10,-2,OLD,20176102,그 후,2017-07-06,9949400,0.4,1168400,13.3,90697908,1431,185,14.8,11855,138,229
1,1,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,1644824300,67.8,-406888400,-19.8,35145860924,215812,-51355,-19.2,4301549,1705,8859
2,2,0,OLD,20178982,박열,2017-06-28,275712300,11.4,-47101800,-14.6,15128408596,39140,-6020,-13.3,1970187,653,2601
3,3,31,OLD,20177501,플립,2017-07-12,105250200,4.3,103506200,5935,113637400,14315,14097,6466.5,15297,186,634
4,4,42,OLD,20174801,내 사랑,2017-07-12,82833300,3.4,81889300,8674.7,124346200,11526,11421,10877.1,16831,175,591
5,5,1,OLD,20081056,다크 나이트,2008-08-06,64369900,2.7,35445400,122.5,27156974900,8474,4773,129,4100072,126,399
6,6,2,OLD,20159647,리얼,2017-06-28,34511500,1.4,15845700,84.9,3300475430,6373,3680,136.7,460058,182,243
7,7,-3,OLD,20158485,옥자,2017-06-29,42848400,1.8,-7903200,-15.6,1771684000,5949,-1020,-14.6,233927,92,257
8,8,-5,OLD,20162869,택시운전사,2017-08-02,28710000,1.2,-73457000,-71.9,157715000,4785,-12205,-71.8,25993,23,23
9,9,-4,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,31423600,1.3,-18370900,-36.9,21267935528,4360,-2433,-35.8,2584236,293,615
10,10,-3,OLD,20176961,지랄발광 17세,2017-06-28,10065500,0.4,-11414500,-53.1,615242600,1375,-1494,-52.1,78115,79,148
1,1,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,1403485100,61.2,-241339200,-14.7,36549346024,183923,-31889,-14.8,4485472,1668,8446
2,2,0,OLD,20178982,박열,2017-06-28,250446100,10.9,-25266200,-9.2,15378854696,35493,-3647,-9.3,2005680,594,2139
3,3,0,NEW,20175522,카3: 새로운 도전,2017-07-13,113212200,4.9,113212200,100,156858200,17037,17037,100,21801,530,1181
4,4,-1,OLD,20177501,플립,2017-07-12,120472500,5.3,15222300,14.5,234109900,16339,2024,14.1,31636,205,632
5,5,-1,OLD,20174801,내 사랑,2017-07-12,87828600,3.8,4995300,6,212174800,12104,578,5,28935,191,602
6,6,5,OLD,20176562,예수는 역사다,2017-07-13,53225900,2.3,46655900,710.1,92061900,7960,6730,547.2,13985,197,293
7,7,-2,OLD,20081056,다크 나이트,2008-08-06,59904600,2.6,-4465300,-6.9,27216879500,7767,-707,-8.3,4107839,132,389
8,8,-1,OLD,20158485,옥자,2017-06-29,34205500,1.5,-8642900,-20.2,1805889500,4635,-1314,-22.1,238562,86,234
9,9,0,NEW,20179245,판타스틱 단편 걸작선 1, ,24000000,1,24000000,100,24000000,4000,4000,100,4000,3,20
10,10,-2,OLD,20162869,택시운전사,2017-08-02,21990000,1,-6720000,-23.4,179705000,3613,-1172,-24.5,29606,19,19
1,1,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,2143060542,64.5,739575442,52.7,38692406566,256830,72907,39.6,4742302,1700,8751
2,2,0,OLD,20178982,박열,2017-06-28,354964342,10.7,104518242,41.7,15733819038,45994,10501,29.6,2051674,630,2223
3,3,1,OLD,20177501,플립,2017-07-12,180557400,5.4,60084900,49.9,414667300,21784,5445,33.3,53420,227,733
4,4,-1,OLD,20175522,카3: 새로운 도전,2017-07-13,134365558,4,21153358,18.7,291223758,18730,1693,9.9,40531,553,1190
5,5,0,OLD,20174801,내 사랑,2017-07-12,111573800,3.4,23745200,27,323748600,13898,1794,14.8,42833,210,625
6,6,1,OLD,20081056,다크 나이트,2008-08-06,84250400,2.5,24345800,40.6,27301129900,9853,2086,26.9,4117692,146,424
7,7,-1,OLD,20176562,예수는 역사다,2017-07-13,56594600,1.7,3368700,6.3,148656500,7670,-290,-3.6,21655,205,306
8,8,0,OLD,20158485,옥자,2017-06-29,49113500,1.5,14908000,43.6,1855003000,6559,1924,41.5,245121,89,242
9,9,1,OLD,20162869,택시운전사,2017-08-02,31077000,0.9,9087000,41.3,210782000,5003,1390,38.5,34609,27,28
10,10,1,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,31695300,1,12199700,62.6,21319126428,4027,1385,52.4,2590905,212,328
1,1,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,5301827757,65.3,3158767215,147.4,43994234323,632067,375237,146.1,5374369,1781,9257
2,2,2,OLD,20175522,카3: 새로운 도전,2017-07-13,948461043,11.7,814095485,605.9,1239684801,126361,107631,574.6,166892,800,2178
3,3,-1,OLD,20178982,박열,2017-06-28,688937257,8.5,333972915,94.1,16422756295,85482,39488,85.9,2137156,638,2025
4,4,-1,OLD,20177501,플립,2017-07-12,352230100,4.3,171672700,95.1,766897400,41661,19877,91.2,95081,249,873
5,5,0,OLD,20174801,내 사랑,2017-07-12,184449700,2.3,72875900,65.3,508198300,22392,8494,61.1,65225,232,562
6,6,0,OLD,20081056,다크 나이트,2008-08-06,150444300,1.9,66193900,78.6,27451574200,17225,7372,74.8,4134917,153,382
7,7,1,OLD,20158485,옥자,2017-06-29,99951000,1.2,50837500,103.5,1954954000,12912,6353,96.9,258033,93,265
8,8,-1,OLD,20176562,예수는 역사다,2017-07-13,91003100,1.1,34408500,60.8,239659600,11823,4153,54.1,33478,199,297
9,9,1,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,69804900,0.9,38109600,120.2,21388931328,8824,4797,119.1,2599729,203,312
10,10,2,OLD,20161872,너의 이름은.,2017-01-04,31218600,0.4,17297200,124.2,29460205356,4049,2286,129.7,3661217,198,289
1,1,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,4416140150,63,-885687607,-16.7,48410374473,528457,-103610,-16.4,5902826,1762,8901
2,2,0,OLD,20175522,카3: 새로운 도전,2017-07-13,922140200,13.2,-26320843,-2.8,2161825001,121870,-4491,-3.6,288762,798,2163
3,3,0,OLD,20178982,박열,2017-06-28,607606300,8.7,-81330957,-11.8,17030362595,75059,-10423,-12.2,2212215,620,1948
4,4,0,OLD,20177501,플립,2017-07-12,334341000,4.8,-17889100,-5.1,1101238400,39542,-2119,-5.1,134623,248,864
5,5,0,OLD,20174801,내 사랑,2017-07-12,172569000,2.5,-11880700,-6.4,680767300,20771,-1621,-7.2,85996,233,552
6,6,2,OLD,20176562,예수는 역사다,2017-07-13,109627200,1.6,18624100,20.5,349286800,14274,2451,20.7,47752,217,316
7,7,-1,OLD,20081056,다크 나이트,2008-08-06,118372600,1.7,-32071700,-21.3,27569946800,13845,-3380,-19.6,4148762,151,356
8,8,-1,OLD,20158485,옥자,2017-06-29,79610900,1.1,-20340100,-20.4,2034564900,10419,-2493,-19.3,268452,93,257
9,9,0,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,58387900,0.8,-11417000,-16.4,21447319228,7394,-1430,-16.2,2607123,191,292
10,10,1,OLD,20179245,판타스틱 단편 걸작선 1, ,30000000,0.4,6000000,25,102000000,5000,1000,25,17000,3,24
1,1,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,958471900,54.4,-3457668250,-78.3,49368846373,124148,-404309,-76.5,6026974,1600,8068
